Kurs Jual,Kurs Beli,Tanggal
14913.19,14764.81,9/13/2022 12:00:00 AM
14920.23,14771.77,09/12/2022 00:00
14979.52,14830.48,09/09/2022 00:00
15001.64,14852.36,09/08/2022 00:00
14959.42,14810.58,09/07/2022 00:00
14994.6,14845.4,09/06/2022 00:00
14974.5,14825.5,09/05/2022 00:00
14958.42,14809.58,09/02/2022 00:00
14927.26,14778.74,09/01/2022 00:00
14949.38,14800.63,8/31/2022 12:00:00 AM
14961.43,14812.57,8/30/2022 12:00:00 AM
14888.07,14739.93,8/29/2022 12:00:00 AM
14901.14,14752.86,8/26/2022 12:00:00 AM
14925.25,14776.75,8/25/2022 12:00:00 AM
14967.47,14818.53,8/24/2022 12:00:00 AM
14956.41,14807.59,8/23/2022 12:00:00 AM
14932.29,14783.71,8/22/2022 12:00:00 AM
14896.11,14747.89,8/19/2022 12:00:00 AM
14840.83,14693.17,8/18/2022 12:00:00 AM
14800.64,14653.36,8/16/2022 12:00:00 AM
14761.44,14614.56,8/15/2022 12:00:00 AM
14873,14725,08/12/2022 00:00
14949.38,14800.63,08/11/2022 00:00
14936.31,14787.69,08/10/2022 00:00
14989.58,14840.42,08/09/2022 00:00
14978.52,14829.48,08/08/2022 00:00
15003.65,14854.35,08/05/2022 00:00
14991.58,14842.42,08/04/2022 00:00
14962.44,14813.56,08/03/2022 00:00
14948.37,14799.63,08/02/2022 00:00
14934.3,14785.7,08/01/2022 00:00
15032.79,14883.21,7/29/2022 12:00:00 AM
15095.1,14944.9,7/28/2022 12:00:00 AM
15058.92,14909.08,7/27/2022 12:00:00 AM
15066.96,14917.04,7/26/2022 12:00:00 AM
15099.12,14948.88,7/25/2022 12:00:00 AM
15092.08,14941.92,7/22/2022 12:00:00 AM
15058.92,14909.08,7/21/2022 12:00:00 AM
15066.96,14917.04,7/20/2022 12:00:00 AM
15060.93,14911.07,7/19/2022 12:00:00 AM
15074,14924,7/18/2022 12:00:00 AM
15074,14924,7/15/2022 12:00:00 AM
15059.92,14910.08,7/14/2022 12:00:00 AM
15067.97,14918.03,7/13/2022 12:00:00 AM
15043.84,14894.16,07/12/2022 00:00
15055.91,14906.1,07/11/2022 00:00
15060.93,14911.07,07/08/2022 00:00
15090.08,14939.93,07/07/2022 00:00
15064.95,14915.05,07/06/2022 00:00
15034.8,14885.2,07/05/2022 00:00
15030.78,14881.22,07/04/2022 00:00
14956.41,14807.59,07/01/2022 00:00
14922.24,14773.76,6/30/2022 12:00:00 AM
14911.19,14762.82,6/29/2022 12:00:00 AM
14876.01,14727.99,6/28/2022 12:00:00 AM
14920.23,14771.77,6/27/2022 12:00:00 AM
14909.18,14760.83,6/24/2022 12:00:00 AM
14934.3,14785.7,6/23/2022 12:00:00 AM
14878.02,14729.98,6/22/2022 12:00:00 AM
14910.18,14761.82,6/21/2022 12:00:00 AM
14902.14,14753.86,6/20/2022 12:00:00 AM
14814.71,14667.3,6/17/2022 12:00:00 AM
14819.73,14672.27,6/16/2022 12:00:00 AM
14802.65,14655.36,6/15/2022 12:00:00 AM
14745.36,14598.64,6/14/2022 12:00:00 AM
14641.85,14496.16,6/13/2022 12:00:00 AM
14627.78,14482.23,06/10/2022 00:00
14549.39,14404.62,06/09/2022 00:00
14536.32,14391.68,06/08/2022 00:00
14534.31,14389.69,06/07/2022 00:00
14503.16,14358.85,06/06/2022 00:00
14598.63,14453.37,06/03/2022 00:00
14664.96,14519.04,06/02/2022 00:00
14616.72,14471.28,5/31/2022 12:00:00 AM
14650.89,14505.11,5/30/2022 12:00:00 AM
14718.23,14571.78,5/27/2022 12:00:00 AM
14726.27,14579.74,5/25/2022 12:00:00 AM
14738.33,14591.68,5/24/2022 12:00:00 AM
14734.31,14587.7,5/23/2022 12:00:00 AM
14804.66,14657.35,5/20/2022 12:00:00 AM
14755.41,14608.59,5/19/2022 12:00:00 AM
14724.26,14577.75,5/18/2022 12:00:00 AM
14692.1,14545.91,5/17/2022 12:00:00 AM
14657.93,14512.08,5/13/2022 12:00:00 AM
